# source: pvgis_fetch
hour,solar_kw_per_kwp
5744,0.60512
5745,0.68116
5746,0.71657
5747,0.6878500000000001
5748,0.64709
5749,0.5564
5750,0.40914999999999996
5751,0.22138
5752,0.048
5753,0.0
5754,0.0
5755,0.0
5756,0.0
5757,0.0
5758,0.0
5759,0.0
5760,0.0
5761,0.0
5762,0.0
5763,0.0
5764,0.0016799999999999999
5765,0.10278
5766,0.30071
5767,0.47251
5768,0.5864299999999999
5769,0.67291
5770,0.72366
5771,0.70961
5772,0.65215
5773,0.5601
5774,0.41448
5775,0.21569999999999998
5776,0.04598
5777,0.0
5778,0.0
5779,0.0
5780,0.0
5781,0.0
5782,0.0
5783,0.0
5784,0.0
5785,0.0
5786,0.0
5787,0.0
5788,0.00171
5789,0.10434
5790,0.30016000000000004
5791,0.47778
5792,0.59812
5793,0.6626000000000001
5794,0.70753
5795,0.70073
5796,0.6532100000000001
5797,0.5644
5798,0.40631
5799,0.21631999999999998
5800,0.04399
5801,0.0
5802,0.0
5803,0.0
5804,0.0
5805,0.0
5806,0.0
5807,0.0
5808,0.0
5809,0.0
5810,0.0
5811,0.0
5812,0.0
5813,0.10268000000000001
5814,0.3009
5815,0.47466
5816,0.60766
5817,0.68308
5818,0.71009
5819,0.69647
5820,0.6465299999999999
5821,0.54123
5822,0.39385000000000003
5823,0.209
5824,0.04179
5825,0.0
5826,0.0
5827,0.0
5828,0.0
5829,0.0
5830,0.0
5831,0.0
5832,0.0
5833,0.0
5834,0.0
5835,0.0
5836,0.0
5837,0.10414
5838,0.30507
5839,0.48316000000000003
5840,0.59902
5841,0.68044
5842,0.72988
5843,0.70958
5844,0.64809
5845,0.5593400000000001
5846,0.40908999999999995
5847,0.21442
5848,0.0404
5849,0.0
5850,0.0
5851,0.0
5852,0.0
5853,0.0
5854,0.0
5855,0.0
5856,0.0
5857,0.0
5858,0.0
5859,0.0
5860,0.0
5861,0.09851
5862,0.28978
5863,0.46820999999999996
5864,0.59524
5865,0.68565
5866,0.72505
5867,0.71846
5868,0.66473
5869,0.54507
5870,0.38288
5871,0.1977
5872,0.03797
5873,0.0
5874,0.0
5875,0.0
5876,0.0
5877,0.0
5878,0.0
5879,0.0
5880,0.0
5881,0.0
5882,0.0
5883,0.0
5884,0.0
5885,0.09623000000000001
5886,0.29262
5887,0.47085000000000005
5888,0.60407
5889,0.67538
5890,0.70084
5891,0.67552
5892,0.62482
5893,0.54737
5894,0.38500999999999996
5895,0.1886
5896,0.0354
5897,0.0
5898,0.0
5899,0.0
5900,0.0
5901,0.0
5902,0.0
5903,0.0
5904,0.0
5905,0.0
5906,0.0
5907,0.0
5908,0.0
5909,0.09268000000000001
5910,0.28058999999999995
5911,0.45464
5912,0.5818099999999999
5913,0.64958
5914,0.6939500000000001
5915,0.67522
5916,0.6155499999999999
5917,0.50987
5918,0.33332999999999996
5919,0.16609000000000002
5920,0.03232
5921,0.0
5922,0.0
5923,0.0
5924,0.0
5925,0.0
5926,0.0
5927,0.0
5928,0.0
5929,0.0
5930,0.0
5931,0.0
5932,0.0
5933,0.1015
5934,0.30968
5935,0.5063799999999999
5936,0.64678
5937,0.74146
5938,0.78028
5939,0.7445700000000001
5940,0.68176
5941,0.56737
5942,0.41085000000000005
5943,0.20535
5944,0.03297
5945,0.0
5946,0.0
5947,0.0
5948,0.0
